scope,metric,n_regions,mean_scalar,mean_pairwise,mean_uplift,pearson_rho_vs_uplift,pearson_p,spearman_rho_vs_uplift,spearman_p,low_rho_mean_uplift,high_rho_mean_uplift,high_minus_low_uplift
split_region_rows,log_loss,12000,0.595943687052188,0.6087362935661649,-0.012792606513976769,-0.26107283320703006,3.3620336720348215e-186,-0.09968322235196683,6.953652789985214e-28,0.0006625252539907442,-0.05073001304416932,-0.05139253829816006
split_region_rows,brier,12000,0.20157756879083347,0.20967725146233662,-0.008099682671503192,-0.2656421894119243,6.044434733709449e-193,-0.11143600026691666,1.8071214949523846e-34,-0.0026818535707020088,-0.022972742038478714,-0.020290888467776706
split_region_rows,error_rate,12000,0.3053950405753618,0.3190881471207059,-0.013693106545344046,-0.2681033827996169,1.2371133904585956e-196,-0.08505477609381967,1.0269359099915103e-20,-0.006893166553561367,-0.036519936601006275,-0.02962677004744491
split_region_rows,calibration_abs_error,12000,0.04725406465916955,0.03688563408657876,0.010368430572590789,-0.14431094651008283,7.425131452387524e-57,-0.07944166479473377,2.9007221301101705e-18,0.013314469849039601,0.0009812017898408484,-0.012333268059198753
split_region_rows,pair_calibration_mae,12000,0.07302272513259432,0.0631911099762332,0.009831615156361138,-0.26373675144729847,4.078152213284883e-190,-0.114793811512457,1.7357753519491875e-36,0.01492999918020963,-0.0055197669248821316,-0.020449766105091763
split_region_rows,majority_edge_error,12000,0.11042671448955915,0.08916173679125457,0.021264977698304585,-0.16167177520685364,4.457192044543056e-71,-0.09635023540754105,3.7628616599988956e-26,0.036994166937717635,-0.010935791184933992,-0.04792995812265163
aggregate_region_rows,log_loss,240,0.595943687052188,0.6087362935661648,-0.012792606513976767,-0.35020374650760017,2.481843157042451e-08,-0.20184204586885185,0.0016721997418314696,0.013295625371802256,-0.0701254070727917,-0.08342103244459396
aggregate_region_rows,brier,240,0.20157756879083344,0.20967725146233665,-0.008099682671503192,-0.3609067423482455,8.554102900158931e-09,-0.20958349971353665,0.0010898069806989502,0.0029624382032042863,-0.030880713653682643,-0.03384315185688693
aggregate_region_rows,error_rate,240,0.30539504057536176,0.3190881471207059,-0.01369310654534405,-0.4191209877809054,1.2567493396383129e-11,-0.2651894998177051,3.1602272552393516e-05,0.003051077996647406,-0.054542744549049844,-0.05759382254569725
aggregate_region_rows,calibration_abs_error,240,0.04725406465916955,0.03688563408657875,0.010368430572590789,-0.2257840862744308,0.0004231623961556883,-0.3022213927325127,1.8463675759695065e-06,0.01585823568831121,-0.003051853130097439,-0.01891008881840865
aggregate_region_rows,pair_calibration_mae,240,0.07302272513259433,0.0631911099762332,0.009831615156361136,-0.3444434490078879,4.3321942220552084e-08,-0.3529922394486014,1.8875554845648108e-08,0.019927357318738535,-0.009129959433458389,-0.029057316752196923
aggregate_region_rows,majority_edge_error,240,0.11042671448955915,0.08916173679125458,0.021264977698304585,-0.3075554336060643,1.1856832643267758e-06,-0.25720669885726605,5.533567111933008e-05,0.053835778427007756,-0.015935484466848743,-0.0697712628938565
