scope,metric,route_top_rho_fraction,rho_threshold,scalar_value,all_pairwise_value,routed_value,improvement_vs_scalar,all_pairwise_improvement_vs_scalar
split_region_rows,log_loss,0.0,inf,0.5972811234283577,0.5889065865109135,0.5972811234283577,0.0,0.008374536917444164
split_region_rows,log_loss,0.1,0.07408139842467577,0.5972811234283577,0.5889065865109135,0.598047958164417,-0.0007668347360593186,0.008374536917444164
split_region_rows,log_loss,0.25,0.025132233388160688,0.5972811234283577,0.5889065865109135,0.596436608334564,0.0008445150937936852,0.008374536917444164
split_region_rows,log_loss,0.5,0.008049098326824575,0.5972811234283577,0.5889065865109135,0.5937881076803466,0.0034930157480110857,0.008374536917444164
split_region_rows,log_loss,0.75,0.0016136668030405266,0.5972811234283577,0.5889065865109135,0.5918113692046716,0.0054697542236861185,0.008374536917444164
split_region_rows,log_loss,1.0,-inf,0.5972811234283577,0.5889065865109135,0.5889065865109135,0.008374536917444164,0.008374536917444164
split_region_rows,brier,0.0,inf,0.2015717780398683,0.2007853006916469,0.2015717780398683,0.0,0.0007864773482214038
split_region_rows,brier,0.1,0.07408139842467577,0.2015717780398683,0.2007853006916469,0.2019341190483213,-0.00036234100845297657,0.0007864773482214038
split_region_rows,brier,0.25,0.025132233388160688,0.2015717780398683,0.2007853006916469,0.20148574655515022,8.603148471808542e-05,0.0007864773482214038
split_region_rows,brier,0.5,0.008049098326824575,0.2015717780398683,0.2007853006916469,0.2010571402901731,0.000514637749695207,0.0007864773482214038
split_region_rows,brier,0.75,0.0016136668030405266,0.2015717780398683,0.2007853006916469,0.2010455382816823,0.0005262397581859979,0.0007864773482214038
split_region_rows,brier,1.0,-inf,0.2015717780398683,0.2007853006916469,0.2007853006916469,0.0007864773482214038,0.0007864773482214038
split_region_rows,error_rate,0.0,inf,0.30064141627212926,0.30088897873404274,0.30064141627212926,0.0,-0.0002475624619134864
split_region_rows,error_rate,0.1,0.07408139842467577,0.30064141627212926,0.30088897873404274,0.30145490554539917,-0.0008134892732699073,-0.0002475624619134864
split_region_rows,error_rate,0.25,0.025132233388160688,0.30064141627212926,0.30088897873404274,0.3007256461038454,-8.422983171613163e-05,-0.0002475624619134864
split_region_rows,error_rate,0.5,0.008049098326824575,0.30064141627212926,0.30088897873404274,0.30000358892326445,0.0006378273488648056,-0.0002475624619134864
split_region_rows,error_rate,0.75,0.0016136668030405266,0.30064141627212926,0.30088897873404274,0.3004918778027782,0.00014953846935106263,-0.0002475624619134864
split_region_rows,error_rate,1.0,-inf,0.30064141627212926,0.30088897873404274,0.30088897873404274,-0.0002475624619134864,-0.0002475624619134864
split_region_rows,calibration_abs_error,0.0,inf,0.034826481921197375,0.021099163765789714,0.034826481921197375,0.0,0.013727318155407661
split_region_rows,calibration_abs_error,0.1,0.07408139842467577,0.034826481921197375,0.021099163765789714,0.0348223178034466,4.1641177507753535e-06,0.013727318155407661
split_region_rows,calibration_abs_error,0.25,0.025132233388160688,0.034826481921197375,0.021099163765789714,0.03393793060479409,0.0008885513164032868,0.013727318155407661
split_region_rows,calibration_abs_error,0.5,0.008049098326824575,0.034826481921197375,0.021099163765789714,0.030739390639253572,0.004087091281943803,0.013727318155407661
split_region_rows,calibration_abs_error,0.75,0.0016136668030405266,0.034826481921197375,0.021099163765789714,0.02624190053540899,0.008584581385788385,0.013727318155407661
split_region_rows,calibration_abs_error,1.0,-inf,0.034826481921197375,0.021099163765789714,0.021099163765789714,0.013727318155407661,0.013727318155407661
split_region_rows,pair_calibration_mae,0.0,inf,0.05378631623246176,0.03608822949200169,0.05378631623246176,0.0,0.01769808674046007
split_region_rows,pair_calibration_mae,0.1,0.07408139842467577,0.05378631623246176,0.03608822949200169,0.05397065634493606,-0.00018434011247429882,0.01769808674046007
split_region_rows,pair_calibration_mae,0.25,0.025132233388160688,0.05378631623246176,0.03608822949200169,0.052717847094636235,0.0010684691378255243,0.01769808674046007
split_region_rows,pair_calibration_mae,0.5,0.008049098326824575,0.05378631623246176,0.03608822949200169,0.047430640190686,0.006355676041775761,0.01769808674046007
split_region_rows,pair_calibration_mae,0.75,0.0016136668030405266,0.05378631623246176,0.03608822949200169,0.04250461808952506,0.011281698142936697,0.01769808674046007
split_region_rows,pair_calibration_mae,1.0,-inf,0.05378631623246176,0.03608822949200169,0.03608822949200169,0.01769808674046007,0.01769808674046007
split_region_rows,majority_edge_error,0.0,inf,0.08658240753761777,0.04650341216269004,0.08658240753761777,0.0,0.04007899537492773
split_region_rows,majority_edge_error,0.1,0.07408139842467577,0.08658240753761777,0.04650341216269004,0.08750527351989874,-0.0009228659822809737,0.04007899537492773
split_region_rows,majority_edge_error,0.25,0.025132233388160688,0.08658240753761777,0.04650341216269004,0.08494712808012625,0.0016352794574915203,0.04007899537492773
split_region_rows,majority_edge_error,0.5,0.008049098326824575,0.08658240753761777,0.04650341216269004,0.0782684958944671,0.008313911643150665,0.04007899537492773
split_region_rows,majority_edge_error,0.75,0.0016136668030405266,0.08658240753761777,0.04650341216269004,0.06519211970108908,0.021390287836528687,0.04007899537492773
split_region_rows,majority_edge_error,1.0,-inf,0.08658240753761777,0.04650341216269004,0.04650341216269004,0.04007899537492773,0.04007899537492773
aggregate_region_rows,log_loss,0.0,inf,0.5974759969671148,0.5889422989222992,0.5974759969671148,0.0,0.00853369804481563
aggregate_region_rows,log_loss,0.1,0.0668208113877155,0.5974759969671148,0.5889422989222992,0.5983942063580563,-0.000918209390941449,0.00853369804481563
aggregate_region_rows,log_loss,0.25,0.03558137491543694,0.5974759969671148,0.5889422989222992,0.5974032736124716,7.272335464325597e-05,0.00853369804481563
aggregate_region_rows,log_loss,0.5,0.012066079569634899,0.5974759969671148,0.5889422989222992,0.5955647292362857,0.0019112677308291692,0.00853369804481563
aggregate_region_rows,log_loss,0.75,0.0033995269650510234,0.5974759969671148,0.5889422989222992,0.5930446365758305,0.004431360391284334,0.00853369804481563
aggregate_region_rows,log_loss,1.0,-inf,0.5974759969671148,0.5889422989222992,0.5889422989222992,0.00853369804481563,0.00853369804481563
aggregate_region_rows,brier,0.0,inf,0.20163838155927996,0.20080200764404887,0.20163838155927996,0.0,0.0008363739152310867
