scope,metric,route_top_rho_fraction,rho_threshold,pooled_value,all_group_head_value,routed_value,improvement_vs_pooled,all_group_head_improvement_vs_pooled
split_region_rows,log_loss,0.0,inf,0.5982453059826892,0.6409870550655211,0.5982453059826892,0.0,-0.042741749082831904
split_region_rows,log_loss,0.1,0.030675501507155332,0.5982453059826892,0.6409870550655211,0.595719699223579,0.002525606759110177,-0.042741749082831904
split_region_rows,log_loss,0.25,0.017538693550339306,0.5982453059826892,0.6409870550655211,0.6001169242675741,-0.0018716182848849128,-0.042741749082831904
split_region_rows,log_loss,0.5,0.014767854956954984,0.5982453059826892,0.6409870550655211,0.6038479275963059,-0.005602621613616687,-0.042741749082831904
split_region_rows,log_loss,0.75,0.00365394379513397,0.5982453059826892,0.6409870550655211,0.6260677767578977,-0.027822470775208497,-0.042741749082831904
split_region_rows,log_loss,1.0,-inf,0.5982453059826892,0.6409870550655211,0.6409870550655211,-0.042741749082831904,-0.042741749082831904
split_region_rows,brier,0.0,inf,0.20116853230056678,0.214394287522222,0.20116853230056678,0.0,-0.013225755221655228
split_region_rows,brier,0.1,0.030675501507155332,0.20116853230056678,0.214394287522222,0.20026384318164644,0.0009046891189203321,-0.013225755221655228
split_region_rows,brier,0.25,0.017538693550339306,0.20116853230056678,0.214394287522222,0.20136572398996772,-0.00019719168940093845,-0.013225755221655228
split_region_rows,brier,0.5,0.014767854956954984,0.20116853230056678,0.214394287522222,0.20182866231194163,-0.0006601300113748543,-0.013225755221655228
split_region_rows,brier,0.75,0.00365394379513397,0.20116853230056678,0.214394287522222,0.20905097979077833,-0.007882447490211553,-0.013225755221655228
split_region_rows,brier,1.0,-inf,0.20116853230056678,0.214394287522222,0.214394287522222,-0.013225755221655228,-0.013225755221655228
split_region_rows,error_rate,0.0,inf,0.30562770562770564,0.32418058132343847,0.30562770562770564,0.0,-0.01855287569573283
split_region_rows,error_rate,0.1,0.030675501507155332,0.30562770562770564,0.32418058132343847,0.3043908472479901,0.0012368583797155441,-0.01855287569573283
split_region_rows,error_rate,0.25,0.017538693550339306,0.30562770562770564,0.32418058132343847,0.30550401978973407,0.00012368583797156552,-0.01855287569573283
split_region_rows,error_rate,0.5,0.014767854956954984,0.30562770562770564,0.32418058132343847,0.30303030303030304,0.0025974025974025983,-0.01855287569573283
split_region_rows,error_rate,0.75,0.00365394379513397,0.30562770562770564,0.32418058132343847,0.3162646876932591,-0.010636982065553469,-0.01855287569573283
split_region_rows,error_rate,1.0,-inf,0.30562770562770564,0.32418058132343847,0.32418058132343847,-0.01855287569573283,-0.01855287569573283
split_region_rows,calibration_abs_error,0.0,inf,0.028576107193661854,0.025195273722336424,0.028576107193661854,0.0,0.00338083347132543
split_region_rows,calibration_abs_error,0.1,0.030675501507155332,0.028576107193661854,0.025195273722336424,0.02798865727649678,0.0005874499171650734,0.00338083347132543
split_region_rows,calibration_abs_error,0.25,0.017538693550339306,0.028576107193661854,0.025195273722336424,0.029860289092118592,-0.0012841818984567384,0.00338083347132543
split_region_rows,calibration_abs_error,0.5,0.014767854956954984,0.028576107193661854,0.025195273722336424,0.02780062599781566,0.0007754811958461949,0.00338083347132543
split_region_rows,calibration_abs_error,0.75,0.00365394379513397,0.028576107193661854,0.025195273722336424,0.02828215689770682,0.00029395029595503247,0.00338083347132543
split_region_rows,calibration_abs_error,1.0,-inf,0.028576107193661854,0.025195273722336424,0.025195273722336424,0.00338083347132543,0.00338083347132543
split_region_rows,pair_calibration_mae,0.0,inf,0.0436955128355663,0.041686145978427444,0.0436955128355663,0.0,0.0020093668571388584
split_region_rows,pair_calibration_mae,0.1,0.030675501507155332,0.0436955128355663,0.041686145978427444,0.04282277243376658,0.0008727404017997223,0.0020093668571388584
split_region_rows,pair_calibration_mae,0.25,0.017538693550339306,0.0436955128355663,0.041686145978427444,0.04320787331034625,0.000487639525220053,0.0020093668571388584
split_region_rows,pair_calibration_mae,0.5,0.014767854956954984,0.0436955128355663,0.041686145978427444,0.04339129291324093,0.00030421992232537026,0.0020093668571388584
split_region_rows,pair_calibration_mae,0.75,0.00365394379513397,0.0436955128355663,0.041686145978427444,0.04196600799047199,0.0017295048450943137,0.0020093668571388584
split_region_rows,pair_calibration_mae,1.0,-inf,0.0436955128355663,0.041686145978427444,0.041686145978427444,0.0020093668571388584,0.0020093668571388584
split_region_rows,majority_edge_error,0.0,inf,0.014965986394557823,0.017810760667903526,0.014965986394557823,0.0,-0.0028447742733457033
split_region_rows,majority_edge_error,0.1,0.030675501507155332,0.014965986394557823,0.017810760667903526,0.014965986394557823,0.0,-0.0028447742733457033
split_region_rows,majority_edge_error,0.25,0.017538693550339306,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
split_region_rows,majority_edge_error,0.5,0.014767854956954984,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
split_region_rows,majority_edge_error,0.75,0.00365394379513397,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
split_region_rows,majority_edge_error,1.0,-inf,0.014965986394557823,0.017810760667903526,0.017810760667903526,-0.0028447742733457033,-0.0028447742733457033
aggregate_region_rows,log_loss,0.0,inf,0.5982453059826893,0.640987055065521,0.5982453059826893,0.0,-0.04274174908283168
aggregate_region_rows,log_loss,0.1,0.030675501507155332,0.5982453059826893,0.640987055065521,0.5957196992235791,0.002525606759110177,-0.04274174908283168
aggregate_region_rows,log_loss,0.25,0.017538693550339306,0.5982453059826893,0.640987055065521,0.6001169242675742,-0.0018716182848849128,-0.04274174908283168
aggregate_region_rows,log_loss,0.5,0.014767854956954984,0.5982453059826893,0.640987055065521,0.603847927596306,-0.005602621613616687,-0.04274174908283168
aggregate_region_rows,log_loss,0.75,0.00365394379513397,0.5982453059826893,0.640987055065521,0.6260677767578977,-0.027822470775208386,-0.04274174908283168
aggregate_region_rows,log_loss,1.0,-inf,0.5982453059826893,0.640987055065521,0.640987055065521,-0.04274174908283168,-0.04274174908283168
aggregate_region_rows,brier,0.0,inf,0.20116853230056678,0.214394287522222,0.20116853230056678,0.0,-0.013225755221655228
aggregate_region_rows,brier,0.1,0.030675501507155332,0.20116853230056678,0.214394287522222,0.20026384318164644,0.0009046891189203321,-0.013225755221655228
