scope,metric,n_regions,mean_pooled,mean_group_head,mean_uplift,pearson_rho_vs_uplift,pearson_p,spearman_rho_vs_uplift,spearman_p,low_rho_mean_uplift,high_rho_mean_uplift,high_minus_low_uplift
split_region_rows,log_loss,16,0.6245627437887784,0.6429138492238906,-0.018351105435112102,0.8615054291832911,1.802728206849357e-05,0.4205882352941176,0.10476751392918707,-0.043368355390750235,0.0547310888885781,0.09809944427932833
split_region_rows,brier,16,0.20492988810073173,0.20897261684790847,-0.004042728747176733,0.8627591459875253,1.6974519142905016e-05,0.5352941176470588,0.03261586329402191,-0.015577200779133833,0.02144956190941147,0.0370267626885453
split_region_rows,error_rate,16,0.3040107370464302,0.30764238539992256,-0.003631648353492306,0.7466203959235885,0.0008917241584612753,0.3735294117647059,0.15412246989684822,-0.022361557275199923,0.023359529418135544,0.045721086693335466
split_region_rows,calibration_abs_error,16,0.05124001810530265,0.03803147624785295,0.0132085418574497,0.15332901121065284,0.5707581852931718,0.38235294117647056,0.14385924954389048,0.00975596592019562,0.025243818957735836,0.015487853037540217
split_region_rows,pair_calibration_mae,16,0.07907715085450046,0.07298494773355232,0.006092203120948113,0.7170680539660125,0.0017697439912129484,-0.008823529411764706,0.9741279946623942,0.0011371479111933732,0.023628335318936048,0.022491187407742676
split_region_rows,majority_edge_error,16,0.031121399176954733,0.04955088635644191,-0.01842948717948718,0.0022242216885067084,0.9934772737856026,-0.30806161848616215,0.24572516622164928,0.0,-0.07371794871794872,-0.07371794871794872
aggregate_region_rows,log_loss,16,0.6245627437887784,0.6429138492238906,-0.018351105435112102,0.8615054291832913,1.8027282068493378e-05,0.4205882352941176,0.10476751392918707,-0.043368355390750235,0.0547310888885781,0.09809944427932833
aggregate_region_rows,brier,16,0.2049298881007317,0.20897261684790847,-0.004042728747176733,0.8627591459875253,1.6974519142905016e-05,0.5352941176470588,0.03261586329402191,-0.015577200779133833,0.02144956190941147,0.0370267626885453
aggregate_region_rows,error_rate,16,0.3040107370464303,0.3076423853999226,-0.003631648353492306,0.7466203959235885,0.0008917241584612753,0.3735294117647059,0.15412246989684822,-0.022361557275199923,0.023359529418135544,0.045721086693335466
aggregate_region_rows,calibration_abs_error,16,0.05124001810530265,0.03803147624785295,0.0132085418574497,0.1533290112106528,0.5707581852931725,0.38235294117647056,0.14385924954389048,0.00975596592019562,0.025243818957735836,0.015487853037540217
aggregate_region_rows,pair_calibration_mae,16,0.07907715085450046,0.07298494773355232,0.006092203120948113,0.7170680539660124,0.0017697439912129484,-0.008823529411764706,0.9741279946623942,0.0011371479111933732,0.023628335318936048,0.022491187407742676
aggregate_region_rows,majority_edge_error,16,0.031121399176954733,0.04955088635644191,-0.01842948717948718,0.0022242216885067015,0.9934772737856026,-0.30806161848616215,0.24572516622164928,0.0,-0.07371794871794872,-0.07371794871794872
