outcome,aggregate_pearson,aggregate_pearson_ci_low,aggregate_pearson_ci_high,aggregate_spearman,within_group_aspect_resid_r,within_resid_ci_low,within_resid_ci_high,fe_control_standardized_beta,fe_control_beta_ci_low,fe_control_beta_ci_high,fe_control_p
test_log_loss,-0.09869153333510376,-0.26188327740190764,0.08224552204672231,-0.11567909165089668,0.219767442550931,0.09662503164563194,0.33085073368289264,0.0038607001733290598,-0.054713993893426294,0.062435394240084416,0.8973241569904173
test_brier,-0.07669870186687772,-0.2372041619466921,0.10052586015116362,-0.13250577266966437,0.2310145470173516,0.12108245837414178,0.3361216159603222,0.0050974553331100195,-0.0530051052829806,0.06320001594920063,0.8636242898756601
test_error_rate,0.011522896700037762,-0.13466952861642512,0.17502951661102809,-0.04725082032674178,0.2246313092382335,0.12832860610015026,0.31843594951026977,-0.0019122072999468397,-0.07007538034836576,0.06625096574847207,0.956198447139925
test_calibration_abs_error,0.3324979112274049,0.23104270384600015,0.44316116696788876,0.5106651157138143,0.09069574713222399,-0.04604723075626404,0.21722578926659813,-0.009416675224970805,-0.13032693838485643,0.11149358793491482,0.8788098697336382
test_pair_calibration_mae,0.4801726264997366,0.40749674520848045,0.5615285597488987,0.6631842566711226,0.13125609583970005,0.019935348671242553,0.23303464059296566,0.060154275946530916,-0.03714686680170663,0.15745541869476848,0.22686045824651568
test_majority_edge_error,0.33656418550713046,0.20548793147844202,0.45354233486267587,0.24730888656288305,0.24346780574903282,0.09503383462527391,0.36351538458913163,0.10804365676985263,-0.025730578905044196,0.24181789244474944,0.11479390375716858
