scope,metric,n_regions,mean_scalar,mean_pairwise,mean_uplift,pearson_rho_vs_uplift,pearson_p,spearman_rho_vs_uplift,spearman_p,low_rho_mean_uplift,high_rho_mean_uplift,high_minus_low_uplift
split_region_rows,log_loss,24,0.6249632918559691,0.5938121528384562,0.031151139017512958,-0.3126893991712123,0.13683512392034636,0.25565217391304346,0.22791835585505185,0.006505200031562075,0.0443223233953805,0.03781712336381843
split_region_rows,brier,24,0.20497073253593845,0.20332177030170398,0.0016489622342344644,-0.3551674180074913,0.08854714118407658,0.16086956521739126,0.452690747765674,-0.002177237885971734,-0.002829339285398094,-0.00065210139942636
split_region_rows,error_rate,24,0.3040910681691157,0.3104667578979597,-0.006375689728844068,-0.08000250246152676,0.710187368586058,0.11739130434782606,0.5848655143600632,-0.023507747399675927,-0.018122338639745366,0.005385408759930561
split_region_rows,calibration_abs_error,24,0.05091855375548454,0.043640785115781684,0.007277768639702846,-0.2640765721373864,0.21242604408770263,0.05652173913043478,0.7930697839291405,0.01465256313095357,0.003918063611561893,-0.010734499519391677
split_region_rows,pair_calibration_mae,24,0.0764787921951371,0.08779382336429613,-0.011315031169159028,-0.5408989465981657,0.006348775982320699,0.006956521739130434,0.9742640605332525,-0.013245549231830358,-0.049921566802514056,-0.0366760175706837
split_region_rows,majority_edge_error,24,0.020747599451303157,0.120576872819924,-0.09982927336862084,-0.37732180102623664,0.06911389067419099,-0.2880403741008969,0.17228180051263417,-0.02990867579908676,-0.19674257997042807,-0.1668339041713413
aggregate_region_rows,log_loss,24,0.6249632918559691,0.5938121528384562,0.031151139017512958,-0.3126893991712123,0.13683512392034636,0.25565217391304346,0.22791835585505185,0.006505200031562075,0.0443223233953805,0.03781712336381843
aggregate_region_rows,brier,24,0.20497073253593845,0.20332177030170398,0.0016489622342344644,-0.3551674180074914,0.08854714118407633,0.16086956521739126,0.452690747765674,-0.002177237885971734,-0.002829339285398094,-0.00065210139942636
aggregate_region_rows,error_rate,24,0.30409106816911563,0.31046675789795974,-0.006375689728844068,-0.08000250246152676,0.710187368586058,0.11739130434782606,0.5848655143600632,-0.023507747399675927,-0.018122338639745366,0.005385408759930561
aggregate_region_rows,calibration_abs_error,24,0.050918553755484534,0.043640785115781684,0.007277768639702846,-0.26407657213738644,0.21242604408770227,0.05652173913043478,0.7930697839291405,0.01465256313095357,0.003918063611561893,-0.010734499519391677
aggregate_region_rows,pair_calibration_mae,24,0.0764787921951371,0.08779382336429614,-0.01131503116915903,-0.5408989465981658,0.0063487759823206745,0.006956521739130434,0.9742640605332525,-0.013245549231830358,-0.04992156680251406,-0.03667601757068371
aggregate_region_rows,majority_edge_error,24,0.020747599451303157,0.120576872819924,-0.09982927336862084,-0.37732180102623664,0.06911389067419099,-0.2880403741008969,0.17228180051263417,-0.02990867579908676,-0.1967425799704281,-0.16683390417134134
