scope,metric,route_top_rho_fraction,rho_threshold,scalar_value,all_pairwise_value,routed_value,improvement_vs_scalar,all_pairwise_improvement_vs_scalar
split_region_rows,log_loss,0.0,inf,0.5982453059826893,0.5852162572383434,0.5982453059826893,0.0,0.013029048744345961
split_region_rows,log_loss,0.1,0.03800270809182621,0.5982453059826893,0.5852162572383434,0.5986982053096319,-0.0004528993269425907,0.013029048744345961
split_region_rows,log_loss,0.25,0.0175759618318907,0.5982453059826893,0.5852162572383434,0.596114280142915,0.0021310258397743143,0.013029048744345961
split_region_rows,log_loss,0.5,0.012212013470669431,0.5982453059826893,0.5852162572383434,0.5865521104501736,0.011693195532515688,0.013029048744345961
split_region_rows,log_loss,0.75,0.0038109926757057665,0.5982453059826893,0.5852162572383434,0.5826295753058175,0.01561573067687183,0.013029048744345961
split_region_rows,log_loss,1.0,-inf,0.5982453059826893,0.5852162572383434,0.5852162572383434,0.013029048744345961,0.013029048744345961
split_region_rows,brier,0.0,inf,0.20116853230056678,0.19996138857860044,0.20116853230056678,0.0,0.0012071437219663417
split_region_rows,brier,0.1,0.03800270809182621,0.20116853230056678,0.19996138857860044,0.2015761856949715,-0.00040765339440471116,0.0012071437219663417
split_region_rows,brier,0.25,0.0175759618318907,0.20116853230056678,0.19996138857860044,0.20123856133754708,-7.002903698030694e-05,0.0012071437219663417
split_region_rows,brier,0.5,0.012212013470669431,0.20116853230056678,0.19996138857860044,0.19868841081330935,0.0024801214872574306,0.0012071437219663417
split_region_rows,brier,0.75,0.0038109926757057665,0.20116853230056678,0.19996138857860044,0.1978995440194015,0.003268988281165286,0.0012071437219663417
split_region_rows,brier,1.0,-inf,0.20116853230056678,0.19996138857860044,0.19996138857860044,0.0012071437219663417,0.0012071437219663417
split_region_rows,error_rate,0.0,inf,0.30562770562770564,0.3127396413110699,0.30562770562770564,0.0,-0.007111935683364268
split_region_rows,error_rate,0.1,0.03800270809182621,0.30562770562770564,0.3127396413110699,0.3059987631416203,-0.00037105751391464104,-0.007111935683364268
split_region_rows,error_rate,0.25,0.0175759618318907,0.30562770562770564,0.3127396413110699,0.3056895485466914,-6.1842918985755e-05,-0.007111935683364268
split_region_rows,error_rate,0.5,0.012212013470669431,0.30562770562770564,0.3127396413110699,0.2992578849721707,0.00636982065553493,-0.007111935683364268
split_region_rows,error_rate,0.75,0.0038109926757057665,0.30562770562770564,0.3127396413110699,0.3037724180581323,0.0018552875695733162,-0.007111935683364268
split_region_rows,error_rate,1.0,-inf,0.30562770562770564,0.3127396413110699,0.3127396413110699,-0.007111935683364268,-0.007111935683364268
split_region_rows,calibration_abs_error,0.0,inf,0.028027703230783234,0.021550787309950036,0.028027703230783234,0.0,0.006476915920833198
split_region_rows,calibration_abs_error,0.1,0.03800270809182621,0.028027703230783234,0.021550787309950036,0.028476340738717958,-0.0004486375079347238,0.006476915920833198
split_region_rows,calibration_abs_error,0.25,0.0175759618318907,0.028027703230783234,0.021550787309950036,0.028682732852028655,-0.0006550296212454211,0.006476915920833198
split_region_rows,calibration_abs_error,0.5,0.012212013470669431,0.028027703230783234,0.021550787309950036,0.024777249176478364,0.0032504540543048695,0.006476915920833198
split_region_rows,calibration_abs_error,0.75,0.0038109926757057665,0.028027703230783234,0.021550787309950036,0.024722276068745934,0.0033054271620373,0.006476915920833198
split_region_rows,calibration_abs_error,1.0,-inf,0.028027703230783234,0.021550787309950036,0.021550787309950036,0.006476915920833198,0.006476915920833198
split_region_rows,pair_calibration_mae,0.0,inf,0.04120326199343853,0.03952414251655404,0.04120326199343853,0.0,0.00167911947688449
split_region_rows,pair_calibration_mae,0.1,0.03800270809182621,0.04120326199343853,0.03952414251655404,0.042518683987371256,-0.001315421993932725,0.00167911947688449
split_region_rows,pair_calibration_mae,0.25,0.0175759618318907,0.04120326199343853,0.03952414251655404,0.04260826859081978,-0.001405006597381249,0.00167911947688449
split_region_rows,pair_calibration_mae,0.5,0.012212013470669431,0.04120326199343853,0.03952414251655404,0.0387623428102827,0.0024409191831558305,0.00167911947688449
split_region_rows,pair_calibration_mae,0.75,0.0038109926757057665,0.04120326199343853,0.03952414251655404,0.0353160074813206,0.005887254512117933,0.00167911947688449
split_region_rows,pair_calibration_mae,1.0,-inf,0.04120326199343853,0.03952414251655404,0.03952414251655404,0.00167911947688449,0.00167911947688449
split_region_rows,majority_edge_error,0.0,inf,0.007482993197278911,0.07452071737786023,0.007482993197278911,0.0,-0.06703772418058132
split_region_rows,majority_edge_error,0.1,0.03800270809182621,0.007482993197278911,0.07452071737786023,0.011131725417439703,-0.0036487322201607915,-0.06703772418058132
split_region_rows,majority_edge_error,0.25,0.0175759618318907,0.007482993197278911,0.07452071737786023,0.015398886827458255,-0.007915893630179343,-0.06703772418058132
split_region_rows,majority_edge_error,0.5,0.012212013470669431,0.007482993197278911,0.07452071737786023,0.016944959802102658,-0.009461966604823745,-0.06703772418058132
split_region_rows,majority_edge_error,0.75,0.0038109926757057665,0.007482993197278911,0.07452071737786023,0.06641929499072356,-0.058936301793444654,-0.06703772418058132
split_region_rows,majority_edge_error,1.0,-inf,0.007482993197278911,0.07452071737786023,0.07452071737786023,-0.06703772418058132,-0.06703772418058132
aggregate_region_rows,log_loss,0.0,inf,0.5982453059826893,0.5852162572383434,0.5982453059826893,0.0,0.013029048744345961
aggregate_region_rows,log_loss,0.1,0.03800270809182621,0.5982453059826893,0.5852162572383434,0.5986982053096319,-0.0004528993269425907,0.013029048744345961
aggregate_region_rows,log_loss,0.25,0.0175759618318907,0.5982453059826893,0.5852162572383434,0.596114280142915,0.0021310258397743143,0.013029048744345961
aggregate_region_rows,log_loss,0.5,0.012212013470669431,0.5982453059826893,0.5852162572383434,0.5865521104501735,0.011693195532515799,0.013029048744345961
aggregate_region_rows,log_loss,0.75,0.0038109926757057665,0.5982453059826893,0.5852162572383434,0.5826295753058175,0.01561573067687183,0.013029048744345961
aggregate_region_rows,log_loss,1.0,-inf,0.5982453059826893,0.5852162572383434,0.5852162572383434,0.013029048744345961,0.013029048744345961
aggregate_region_rows,brier,0.0,inf,0.20116853230056678,0.19996138857860044,0.20116853230056678,0.0,0.0012071437219663417
aggregate_region_rows,brier,0.1,0.03800270809182621,0.20116853230056678,0.19996138857860044,0.20157618569497146,-0.0004076533944046834,0.0012071437219663417
aggregate_region_rows,brier,0.25,0.0175759618318907,0.20116853230056678,0.19996138857860044,0.20123856133754708,-7.002903698030694e-05,0.0012071437219663417
aggregate_region_rows,brier,0.5,0.012212013470669431,0.20116853230056678,0.19996138857860044,0.19868841081330935,0.0024801214872574306,0.0012071437219663417
aggregate_region_rows,brier,0.75,0.0038109926757057665,0.20116853230056678,0.19996138857860044,0.1978995440194015,0.003268988281165286,0.0012071437219663417
aggregate_region_rows,brier,1.0,-inf,0.20116853230056678,0.19996138857860044,0.19996138857860044,0.0012071437219663417,0.0012071437219663417
aggregate_region_rows,error_rate,0.0,inf,0.30562770562770564,0.3127396413110699,0.30562770562770564,0.0,-0.007111935683364268
aggregate_region_rows,error_rate,0.1,0.03800270809182621,0.30562770562770564,0.3127396413110699,0.3059987631416203,-0.00037105751391464104,-0.007111935683364268
aggregate_region_rows,error_rate,0.25,0.0175759618318907,0.30562770562770564,0.3127396413110699,0.3056895485466914,-6.1842918985755e-05,-0.007111935683364268
aggregate_region_rows,error_rate,0.5,0.012212013470669431,0.30562770562770564,0.3127396413110699,0.2992578849721707,0.00636982065553493,-0.007111935683364268
