split_index,group,aspect,model,fit_ok,n_train_obs,train_weight,n_features,n_iter
42,expert,helpful,group_head,True,8956,6446.5,30000,20
42,all,truthful,pooled,True,4500,3313.5,30000,20
42,normal,truthful,group_head,True,2006,1492.5,30000,20
42,expert,truthful,group_head,True,2494,1821.0,30000,20
42,all,harmless,pooled,True,1317,1009.0,30000,20
42,normal,harmless,group_head,True,575,446.5,30000,12
42,expert,harmless,group_head,True,742,562.5,30000,20
43,all,overall,pooled,True,17916,13128.5,30000,20
43,normal,overall,group_head,True,9008,6729.0,30000,20
43,expert,overall,group_head,True,8908,6399.5,30000,20
43,all,helpful,pooled,True,17988,13170.0,30000,20
43,normal,helpful,group_head,True,8995,6694.0,30000,20
43,expert,helpful,group_head,True,8993,6476.0,30000,20
43,all,truthful,pooled,True,4425,3263.0,30000,20
43,normal,truthful,group_head,True,1977,1477.5,30000,20
43,expert,truthful,group_head,True,2448,1785.5,30000,20
43,all,harmless,pooled,True,1305,1001.0,30000,20
43,normal,harmless,group_head,True,557,431.5,30000,18
43,expert,harmless,group_head,True,748,569.5,30000,20
44,all,overall,pooled,True,17967,13161.0,30000,20
44,normal,overall,group_head,True,9038,6747.5,30000,20
44,expert,overall,group_head,True,8929,6413.5,30000,20
44,all,helpful,pooled,True,17969,13151.0,30000,20
44,normal,helpful,group_head,True,8998,6688.5,30000,20
44,expert,helpful,group_head,True,8971,6462.5,30000,20
44,all,truthful,pooled,True,4424,3254.0,30000,20
44,normal,truthful,group_head,True,1995,1479.0,30000,20
44,expert,truthful,group_head,True,2429,1775.0,30000,20
44,all,harmless,pooled,True,1372,1052.0,30000,20
44,normal,harmless,group_head,True,616,477.0,30000,20
44,expert,harmless,group_head,True,756,575.0,30000,20
45,all,overall,pooled,True,17880,13066.0,30000,20
45,normal,overall,group_head,True,9032,6723.5,30000,20
45,expert,overall,group_head,True,8848,6342.5,30000,20
45,all,helpful,pooled,True,17899,13073.5,30000,20
45,normal,helpful,group_head,True,8993,6673.5,30000,20
45,expert,helpful,group_head,True,8906,6400.0,30000,20
45,all,truthful,pooled,True,4416,3251.0,30000,20
45,normal,truthful,group_head,True,1999,1486.5,30000,20
45,expert,truthful,group_head,True,2417,1764.5,30000,20
45,all,harmless,pooled,True,1284,986.5,30000,20
45,normal,harmless,group_head,True,563,434.5,30000,20
45,expert,harmless,group_head,True,721,552.0,30000,20
46,all,overall,pooled,True,17960,13163.5,30000,20
46,normal,overall,group_head,True,9012,6729.5,30000,20
46,expert,overall,group_head,True,8948,6434.0,30000,20
46,all,helpful,pooled,True,17999,13168.0,30000,20
46,normal,helpful,group_head,True,8979,6671.5,30000,20
46,expert,helpful,group_head,True,9020,6496.5,30000,20
46,all,truthful,pooled,True,4511,3320.0,30000,20
46,normal,truthful,group_head,True,2021,1505.0,30000,20
46,expert,truthful,group_head,True,2490,1815.0,30000,20
46,all,harmless,pooled,True,1335,1032.0,30000,20
46,normal,harmless,group_head,True,598,467.0,30000,20
46,expert,harmless,group_head,True,737,565.0,30000,20
47,all,overall,pooled,True,17852,13068.0,30000,20
47,normal,overall,group_head,True,9008,6726.0,30000,20
47,expert,overall,group_head,True,8844,6342.0,30000,20
47,all,helpful,pooled,True,17883,13066.5,30000,20
47,normal,helpful,group_head,True,8968,6658.0,30000,20
47,expert,helpful,group_head,True,8915,6408.5,30000,20
47,all,truthful,pooled,True,4419,3265.5,30000,20
47,normal,truthful,group_head,True,1998,1497.0,30000,20
47,expert,truthful,group_head,True,2421,1768.5,30000,20
47,all,harmless,pooled,True,1324,1010.5,30000,20
47,normal,harmless,group_head,True,589,456.0,30000,20
47,expert,harmless,group_head,True,735,554.5,30000,18
48,all,overall,pooled,True,18038,13245.5,30000,20
48,normal,overall,group_head,True,9078,6792.5,30000,20
48,expert,overall,group_head,True,8960,6453.0,30000,20
48,all,helpful,pooled,True,18069,13242.5,30000,20
48,normal,helpful,group_head,True,9045,6724.0,30000,20
48,expert,helpful,group_head,True,9024,6518.5,30000,20
48,all,truthful,pooled,True,4516,3336.5,30000,20
48,normal,truthful,group_head,True,2030,1511.0,30000,20
48,expert,truthful,group_head,True,2486,1825.5,30000,20
48,all,harmless,pooled,True,1383,1066.5,30000,20
48,normal,harmless,group_head,True,621,480.0,30000,11
48,expert,harmless,group_head,True,762,586.5,30000,20
49,all,overall,pooled,True,17900,13130.0,30000,20
49,normal,overall,group_head,True,9022,6746.0,30000,20
49,expert,overall,group_head,True,8878,6384.0,30000,20
49,all,helpful,pooled,True,17940,13150.5,30000,20
49,normal,helpful,group_head,True,9000,6706.0,30000,20
49,expert,helpful,group_head,True,8940,6444.5,30000,20
49,all,truthful,pooled,True,4427,3251.0,30000,20
49,normal,truthful,group_head,True,1992,1475.5,30000,20
49,expert,truthful,group_head,True,2435,1775.5,30000,20
49,all,harmless,pooled,True,1329,1019.5,30000,20
49,normal,harmless,group_head,True,574,446.0,30000,13
49,expert,harmless,group_head,True,755,573.5,30000,20
