scope,metric,route_top_rho_fraction,rho_threshold,pooled_value,all_group_head_value,routed_value,improvement_vs_pooled,all_group_head_improvement_vs_pooled
split_region_rows,log_loss,0.0,inf,0.5972811234283577,0.6172862586828617,0.5972811234283577,0.0,-0.02000513525450398
split_region_rows,log_loss,0.1,0.07955432757301217,0.5972811234283577,0.6172862586828617,0.5976600963594753,-0.00037897293111754937,-0.02000513525450398
split_region_rows,log_loss,0.25,0.02807139256544406,0.5972811234283577,0.6172862586828617,0.5986318235386577,-0.0013507001103000293,-0.02000513525450398
split_region_rows,log_loss,0.5,0.008546512066958119,0.5972811234283577,0.6172862586828617,0.6034342274512358,-0.006153104022878053,-0.02000513525450398
split_region_rows,log_loss,0.75,0.0018808084969799755,0.5972811234283577,0.6172862586828617,0.6100604317306315,-0.012779308302273806,-0.02000513525450398
split_region_rows,log_loss,1.0,-inf,0.5972811234283577,0.6172862586828617,0.6172862586828617,-0.02000513525450398,-0.02000513525450398
split_region_rows,brier,0.0,inf,0.2015717780398683,0.20703881087553638,0.2015717780398683,0.0,-0.005467032835668073
split_region_rows,brier,0.1,0.07955432757301217,0.2015717780398683,0.20703881087553638,0.20166716585823097,-9.538781836265775e-05,-0.005467032835668073
split_region_rows,brier,0.25,0.02807139256544406,0.2015717780398683,0.20703881087553638,0.20190963624263858,-0.00033785820277026923,-0.005467032835668073
split_region_rows,brier,0.5,0.008546512066958119,0.2015717780398683,0.20703881087553638,0.20321796738952683,-0.0016461893496585167,-0.005467032835668073
split_region_rows,brier,0.75,0.0018808084969799755,0.2015717780398683,0.20703881087553638,0.2050404601203952,-0.0034686820805268914,-0.005467032835668073
split_region_rows,brier,1.0,-inf,0.2015717780398683,0.20703881087553638,0.20703881087553638,-0.005467032835668073,-0.005467032835668073
split_region_rows,error_rate,0.0,inf,0.30064141627212926,0.30552332848950764,0.30064141627212926,0.0,-0.004881912217378381
split_region_rows,error_rate,0.1,0.07955432757301217,0.30064141627212926,0.30552332848950764,0.3007368767480742,-9.546047594494178e-05,-0.004881912217378381
split_region_rows,error_rate,0.25,0.02807139256544406,0.30064141627212926,0.30552332848950764,0.3008030398912483,-0.00016162361911903345,-0.004881912217378381
split_region_rows,error_rate,0.5,0.008546512066958119,0.30064141627212926,0.30552332848950764,0.302142904576634,-0.00150148830450475,-0.004881912217378381
split_region_rows,error_rate,0.75,0.0018808084969799755,0.30064141627212926,0.30552332848950764,0.3037969831559868,-0.0031555668838575412,-0.004881912217378381
split_region_rows,error_rate,1.0,-inf,0.30064141627212926,0.30552332848950764,0.30552332848950764,-0.004881912217378381,-0.004881912217378381
split_region_rows,calibration_abs_error,0.0,inf,0.03581978232627543,0.03741466006552365,0.03581978232627543,0.0,-0.0015948777392482197
split_region_rows,calibration_abs_error,0.1,0.07955432757301217,0.03581978232627543,0.03741466006552365,0.03597408097278292,-0.00015429864650749053,-0.0015948777392482197
split_region_rows,calibration_abs_error,0.25,0.02807139256544406,0.03581978232627543,0.03741466006552365,0.036185859440170456,-0.00036607711389502473,-0.0015948777392482197
split_region_rows,calibration_abs_error,0.5,0.008546512066958119,0.03581978232627543,0.03741466006552365,0.03656659430403363,-0.0007468119777582008,-0.0015948777392482197
split_region_rows,calibration_abs_error,0.75,0.0018808084969799755,0.03581978232627543,0.03741466006552365,0.03685015943470604,-0.0010303771084306107,-0.0015948777392482197
split_region_rows,calibration_abs_error,1.0,-inf,0.03581978232627543,0.03741466006552365,0.03741466006552365,-0.0015948777392482197,-0.0015948777392482197
split_region_rows,pair_calibration_mae,0.0,inf,0.05579656490707858,0.056519928384676024,0.05579656490707858,0.0,-0.0007233634775974454
