scope,metric,n_regions,mean_pooled,mean_group_head,mean_uplift,pearson_rho_vs_uplift,pearson_p,spearman_rho_vs_uplift,spearman_p,low_rho_mean_uplift,high_rho_mean_uplift,high_minus_low_uplift
split_region_rows,log_loss,8000,0.5955375603802918,0.6135884669180137,-0.01805090653772205,-0.0072064566574861315,0.5192689383943995,0.045102523548476936,5.4482539695454516e-05,-0.01895023544091011,-0.017901154701151542,0.0010490807397585677
split_region_rows,brier,8000,0.20145974392382443,0.2062563322463572,-0.004796588322532761,0.0022553640606676707,0.8401554619820513,0.03856556033696189,0.0005602689298726582,-0.005167678243969767,-0.00462863096890487,0.000539047275064897
split_region_rows,error_rate,8000,0.30525250959640726,0.30997733301554625,-0.004724823419138975,-0.01215246641017861,0.27711640263329235,-0.005253130375162369,0.6385092856017238,-0.004820449367816759,-0.005474163701405586,-0.0006537143335888273
split_region_rows,calibration_abs_error,8000,0.048347644492790255,0.05113318134228473,-0.0027855368494944708,-0.11284701012016377,4.318529372874255e-24,-0.06408225083722267,9.654374547570535e-09,-0.0018147534641088734,-0.005261312053268273,-0.0034465585891594
split_region_rows,pair_calibration_mae,8000,0.07522083312863406,0.07744084665312766,-0.0022200135244935825,-0.12869366828472414,6.804575255022971e-31,-0.09070418916725297,4.352791058500409e-16,-0.0006577006120540772,-0.004880019100740648,-0.0042223184886865705
split_region_rows,majority_edge_error,8000,0.11325645221047427,0.11960419890494169,-0.006347746694467399,-0.03456473653952034,0.0019880964652200664,-0.03943732320186154,0.00041839160455026716,-0.003525537835988446,-0.012399163992635007,-0.008873626156646561
aggregate_region_rows,log_loss,160,0.5955375603802917,0.6135884669180138,-0.01805090653772205,-0.0885551664330853,0.2654720244801925,0.04678600726590882,0.5568793134473358,-0.020968253725659285,-0.017026967994531367,0.003941285731127918
aggregate_region_rows,brier,160,0.20145974392382446,0.20625633224635723,-0.00479658832253276,-0.04579794610042518,0.5652486928630167,0.0801916090472284,0.3134430732594359,-0.005800400679178712,-0.004183664370747159,0.0016167363084315534
aggregate_region_rows,error_rate,160,0.3052525095964073,0.3099773330155463,-0.004724823419138975,-0.05126597790055776,0.519699880406632,-0.04476444392359076,0.5740665422470389,-0.005111462496219234,-0.004538685193196373,0.0005727773030228612
aggregate_region_rows,calibration_abs_error,160,0.04834764449279026,0.05113318134228473,-0.0027855368494944708,-0.3187448060318525,3.992845379224599e-05,-0.1310822688386265,0.09849163938521162,-0.0011850418976185673,-0.005309134288672121,-0.0041240923910535535
aggregate_region_rows,pair_calibration_mae,160,0.07522083312863406,0.07744084665312764,-0.0022200135244935825,-0.38224834422728193,6.102964400644459e-07,-0.2230370326965897,0.004584003113371306,-0.0002238102566026072,-0.004737304217958809,-0.0045134939613562025
aggregate_region_rows,majority_edge_error,160,0.11325645221047428,0.11960419890494167,-0.006347746694467399,-0.19394398085315534,0.013996124310675956,-0.16653974795810533,0.03531007586095413,-0.002386300541341019,-0.005903676491632844,-0.003517375950291825
