name,attribute,conditioning,score_delta,n_min,tau,observed_n_models,observed_n_edges,observed_eligible_triples,observed_cyclic_triples,observed_cycle_rate,observed_weighted_cycle_intensity_sum,observed_weighted_cycle_intensity_mean,observed_hodge_n_models,observed_hodge_n_edges,observed_hodge_gradient_energy,observed_hodge_cyclic_residual_energy,observed_hodge_total_energy,observed_hodge_rho_cyc,null_cycle_rate_mean,null_cycle_rate_q95,null_cycle_rate_q975,null_cycle_rate_sd,z_observed_cycle_rate,p_ge_observed_cycle_rate,null_cyclic_triples_mean,null_cyclic_triples_q95,null_cyclic_triples_q975,null_cyclic_triples_sd,z_observed_cyclic_triples,p_ge_observed_cyclic_triples,null_hodge_rho_cyc_mean,null_hodge_rho_cyc_q95,null_hodge_rho_cyc_q975,null_hodge_rho_cyc_sd,z_observed_hodge_rho_cyc,p_ge_observed_hodge_rho_cyc,threshold
pooled,,pooled,5.0,25,0.0,21,210,1330,20,0.015037593984962405,0.0020000968532291113,0.00010000484266145555,21,210,5426.841352722537,238.9861307241795,5665.827483446714,0.0421802695938769,0.012890977443609022,0.02109022556390976,0.02268796992481206,0.005321077491515532,0.4034176432829943,0.36318407960199006,17.145,28.049999999999983,30.17500000000004,7.077033063715658,0.40341764328299445,0.36318407960199006,0.0367551362353126,0.04212549334736214,0.04234663414712336,0.0032689984494719744,1.6595704899892496,0.04975124378109453,
choice_values_high_q75,choice_values,high_q75,5.0,25,0.0,21,56,65,4,0.06153846153846154,0.008473325338895058,0.0021183313347237645,19,56,250.49045785426642,31.164392871320118,281.6548507255864,0.11064745659815844,0.04338461538461539,0.09230769230769231,0.1076923076923077,0.029737635417850763,0.6104670360895221,0.34328358208955223,2.82,6.0,7.0,1.9329463021602995,0.6104670360895222,0.34328358208955223,0.10977088822730943,0.14702171387789173,0.1648686150020259,0.023932316633609767,0.03662697532665886,0.472636815920398,88.0
choice_fluency_high_q75,choice_fluency,high_q75,5.0,25,0.0,21,87,173,2,0.011560693641618497,0.0033487145149676168,0.0016743572574838084,20,87,482.5455269796497,47.10297921241348,529.6485061920632,0.08893252536680017,0.03630057803468208,0.06965317919075134,0.08092485549132948,0.019999880789540944,-1.2370015928295657,0.9601990049751243,6.28,12.049999999999983,14.0,3.459979376590583,-1.2370015928295661,0.9601990049751243,0.11017603730356855,0.13716397948578485,0.1394774753209717,0.01627909600005022,-1.3049564875532917,0.9154228855721394,100.0
choice_factuality_high_q75,choice_factuality,high_q75,5.0,25,0.0,21,88,187,12,0.06417112299465241,0.060438268731336564,0.005036522394278048,20,88,611.0559640206229,73.77462309082378,684.8305871114461,0.10772682248612539,0.038422459893048135,0.0748663101604278,0.0855614973262032,0.020016600066911635,1.2863654674385991,0.12437810945273632,7.185,14.0,16.0,3.7431042125124763,1.286365467438599,0.12437810945273632,0.09534880075881265,0.12046345226583889,0.12707142272819363,0.015512673679357093,0.7979296144019536,0.19402985074626866,98.0
choice_safety_high_q75,choice_safety,high_q75,5.0,25,0.0,21,77,134,5,0.03731343283582089,0.020947060378684313,0.004189412075736862,19,77,325.73986309048036,52.37256748558836,378.1124305760692,0.13851056789060517,0.03805970149253732,0.07499999999999987,0.09701492537313433,0.02282750790012265,-0.03269163940196976,0.5373134328358209,5.1,10.049999999999983,13.0,3.0588860586164355,-0.0326916394019693,0.5373134328358209,0.13434859114020728,0.17736016532043866,0.18724561390477515,0.024084408127666542,0.17280793151885251,0.3482587064676617,97.0
choice_diversity_high_q75,choice_diversity,high_q75,5.0,25,0.0,21,66,92,1,0.010869565217391304,0.017241379310344827,0.017241379310344827,19,66,373.8666159927899,46.904220704755,420.77083669754484,0.11147212832734964,0.033260869565217385,0.07608695652173914,0.07608695652173914,0.021063343680401234,-1.063046052306523,0.9203980099502488,3.06,7.0,7.0,1.9378276185969134,-1.0630460523065233,0.9203980099502488,0.1013218162320995,0.13189544430053096,0.13902932748644914,0.01875085257508123,0.5413253639858113,0.2885572139303483,86.0
choice_creativity_high_q75,choice_creativity,high_q75,5.0,25,0.0,21,56,61,5,0.08196721311475409,0.0444343396067534,0.00888686792135068,19,56,217.39938122008664,32.66173339708924,250.06111461717606,0.13061500364457623,0.05672131147540983,0.11475409836065574,0.13114754098360656,0.030563017906462635,0.8260277737168731,0.2835820895522388,3.46,7.0,8.0,1.8643440922942207,0.8260277737168733,0.2835820895522388,0.1333337443334905,0.18453606548724416,0.1909344608934864,0.028695431120165524,-0.09474472355997046,0.48756218905472637,83.0
choice_helpfulness_high_q75,choice_helpfulness,high_q75,5.0,25,0.0,21,108,272,13,0.04779411764705882,0.03263499745065267,0.0025103844192809746,21,108,696.2802274191796,62.91406610872808,759.1942935279071,0.08286951923251704,0.039099264705882354,0.06985294117647059,0.07720588235294118,0.017703537672033035,0.4911364667476638,0.32338308457711445,10.635,19.0,21.0,4.8153622467929855,0.4911364667476641,0.32338308457711445,0.10131701173617533,0.12781305049012665,0.13314744974454387,0.014004799637746956,-1.3172264495621202,0.9253731343283582,100.0
