attribute,conditioning,threshold,score_delta,n_min,tau,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean
choice_values,low_q25,50.0,0.0,25,0.1,21,91,202,1,0.0049504950495049506,0.017647058823529415,0.017647058823529415
choice_values,low_q25,50.0,0.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,0.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,0.0,50,0.1,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,0.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,0.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,0.0,100,0.1,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,2.0,10,0.0,21,202,1189,23,0.01934398654331371,0.17366409481911205,0.007550612818222263
choice_values,low_q25,50.0,2.0,10,0.05,21,202,1189,19,0.0159798149705635,0.16760007832031293,0.00882105675370068
choice_values,low_q25,50.0,2.0,10,0.1,21,202,1189,2,0.001682085786375105,0.043815937149270484,0.021907968574635242
choice_values,low_q25,50.0,2.0,25,0.0,21,80,147,5,0.034013605442176874,0.0452171643569493,0.009043432871389862
choice_values,low_q25,50.0,2.0,25,0.05,21,80,147,3,0.02040816326530612,0.04012743926722421,0.01337581308907474
choice_values,low_q25,50.0,2.0,25,0.1,21,80,147,1,0.006802721088435374,0.02765432098765432,0.02765432098765432
choice_values,low_q25,50.0,2.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,2.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,2.0,50,0.1,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,2.0,100,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,2.0,100,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,2.0,100,0.1,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,5.0,10,0.0,21,202,1189,16,0.01345668629100084,0.08296300707194518,0.005185187941996574
choice_values,low_q25,50.0,5.0,10,0.05,21,202,1189,11,0.009251471825063078,0.0750476681675001,0.006822515287954554
choice_values,low_q25,50.0,5.0,10,0.1,21,202,1189,5,0.004205214465937763,0.05401346468349731,0.010802692936699462
choice_values,low_q25,50.0,5.0,25,0.0,21,61,81,3,0.037037037037037035,0.017154947927837345,0.0057183159759457815
choice_values,low_q25,50.0,5.0,25,0.05,21,61,81,1,0.012345679012345678,0.01259523494957502,0.01259523494957502
choice_values,low_q25,50.0,5.0,25,0.1,21,61,81,0,0.0,0.0,0.0
choice_values,low_q25,50.0,5.0,50,0.0,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,5.0,50,0.05,21,0,0,0,,0.0,0.0
choice_values,low_q25,50.0,5.0,50,0.1,21,0,0,0,,0.0,0.0
