attribute,conditioning,threshold,score_delta,n_min,n_models,n_edges,gradient_energy,cyclic_residual_energy,total_energy,rho_cyc
choice_values,high_q75,88.0,0.0,10,21,194,719.3740278674122,140.42902923563705,859.8030571030494,0.16332697130525126
choice_values,high_q75,88.0,0.0,25,20,77,285.41334866344425,46.24033409496522,331.6536827584098,0.13942355082680805
choice_values,high_q75,88.0,0.0,50,0,0,,,,
choice_values,high_q75,88.0,0.0,100,0,0,,,,
choice_values,high_q75,88.0,2.0,10,21,193,727.9273575170541,150.88717858015576,878.8145360972094,0.17169399501542326
choice_values,high_q75,88.0,2.0,25,19,72,282.2620456178385,46.44136774305624,328.70341336089484,0.14128653934015178
choice_values,high_q75,88.0,2.0,50,0,0,,,,
choice_values,high_q75,88.0,2.0,100,0,0,,,,
choice_values,high_q75,88.0,5.0,10,21,193,724.3105694761821,142.9457664440398,867.2563359202202,0.1648252777448599
choice_values,high_q75,88.0,5.0,25,19,56,250.49045785426642,31.164392871320118,281.6548507255864,0.11064745659815844
choice_values,high_q75,88.0,5.0,50,0,0,,,,
choice_values,high_q75,88.0,5.0,100,0,0,,,,
choice_values,high_q75,88.0,10.0,10,21,189,711.2429011760111,139.85437610175768,851.0972772777686,0.16432243391622797
choice_values,high_q75,88.0,10.0,25,17,37,170.57146515350144,16.170558441126058,186.7420235946276,0.08659303422902005
choice_values,high_q75,88.0,10.0,50,0,0,,,,
choice_values,high_q75,88.0,10.0,100,0,0,,,,
choice_values,low_q25,50.0,0.0,10,21,202,677.3543509686523,166.71099393820668,844.0653449068585,0.19750958257456125
choice_values,low_q25,50.0,0.0,25,20,91,349.6394054179944,80.29681045730872,429.93621587530316,0.18676447224580323
choice_values,low_q25,50.0,0.0,50,0,0,,,,
choice_values,low_q25,50.0,0.0,100,0,0,,,,
choice_values,low_q25,50.0,2.0,10,21,202,684.9127572338157,163.1195182644969,848.0322754983121,0.19235060147757496
choice_values,low_q25,50.0,2.0,25,20,80,322.3073362762877,73.64897259954364,395.9563088758317,0.18600277593414805
choice_values,low_q25,50.0,2.0,50,0,0,,,,
choice_values,low_q25,50.0,2.0,100,0,0,,,,
choice_values,low_q25,50.0,5.0,10,21,202,688.2100601990646,162.71978214302774,850.9298423420919,0.1912258497071383
choice_values,low_q25,50.0,5.0,25,19,61,262.76722725767047,55.20915147679171,317.97637873446223,0.17362658099486103
choice_values,low_q25,50.0,5.0,50,0,0,,,,
choice_values,low_q25,50.0,5.0,100,0,0,,,,
choice_values,low_q25,50.0,10.0,10,21,202,690.2534121727274,152.57697762099235,842.8303897937191,0.18102927880701505
choice_values,low_q25,50.0,10.0,25,18,41,187.42043435509112,34.69801141205875,222.11844576714986,0.15621400236355515
choice_values,low_q25,50.0,10.0,50,0,0,,,,
choice_values,low_q25,50.0,10.0,100,0,0,,,,
choice_fluency,high_q75,100.0,0.0,10,21,199,1026.3534929074494,154.79981786238542,1181.1533107698351,0.13105819240475416
choice_fluency,high_q75,100.0,0.0,25,20,105,535.144111152441,61.80211392123746,596.946225073678,0.10353045437821397
choice_fluency,high_q75,100.0,0.0,50,0,0,,,,
choice_fluency,high_q75,100.0,0.0,100,0,0,,,,
choice_fluency,high_q75,100.0,2.0,10,21,198,1026.9924789344145,154.88794350317642,1181.8804224375917,0.13105212723950943
choice_fluency,high_q75,100.0,2.0,25,20,99,524.6034614542642,62.956024569791374,587.5594860240553,0.10714834168674095
choice_fluency,high_q75,100.0,2.0,50,0,0,,,,
choice_fluency,high_q75,100.0,2.0,100,0,0,,,,
choice_fluency,high_q75,100.0,5.0,10,21,197,1031.4584481793722,151.70506347525202,1183.1635116546238,0.12821986308815117
choice_fluency,high_q75,100.0,5.0,25,20,87,482.5455269796497,47.10297921241348,529.6485061920632,0.08893252536680017
choice_fluency,high_q75,100.0,5.0,50,0,0,,,,
choice_fluency,high_q75,100.0,5.0,100,0,0,,,,
choice_fluency,high_q75,100.0,10.0,10,21,194,1025.8275010374173,159.43154930503187,1185.2590503424503,0.13451198643787465
choice_fluency,high_q75,100.0,10.0,25,20,56,415.7769800749358,34.9574946341327,450.7344747090679,0.07755673594014845
choice_fluency,high_q75,100.0,10.0,50,0,0,,,,
choice_fluency,high_q75,100.0,10.0,100,0,0,,,,
choice_fluency,low_q25,72.0,0.0,10,21,207,404.6612608697639,128.11352038665663,532.774781256421,0.2404646858181458
choice_fluency,low_q25,72.0,0.0,25,20,115,174.7061593234084,53.733679448446786,228.43983877185536,0.23522026515747557
choice_fluency,low_q25,72.0,0.0,50,0,0,,,,
choice_fluency,low_q25,72.0,0.0,100,0,0,,,,
choice_fluency,low_q25,72.0,2.0,10,21,205,409.1863581663027,123.50903679462891,532.6953949609317,0.23185677586660414
choice_fluency,low_q25,72.0,2.0,25,20,101,162.93070708946516,47.59243433960029,210.52314142906562,0.22606747180635361
choice_fluency,low_q25,72.0,2.0,50,0,0,,,,
choice_fluency,low_q25,72.0,2.0,100,0,0,,,,
choice_fluency,low_q25,72.0,5.0,10,21,202,425.1875840505804,125.95771976278752,551.1453038133685,0.22853813484626903
choice_fluency,low_q25,72.0,5.0,25,19,77,111.02800661520892,31.239463720484185,142.2674703356932,0.21958261889925923
choice_fluency,low_q25,72.0,5.0,50,0,0,,,,
choice_fluency,low_q25,72.0,5.0,100,0,0,,,,
choice_fluency,low_q25,72.0,10.0,10,21,198,442.22970875178146,122.68124278103491,564.9109515328169,0.21716917055361443
