rep,n_models,n_edges,eligible_triples,cyclic_triples,cycle_rate,weighted_cycle_intensity_sum,weighted_cycle_intensity_mean,hodge_n_models,hodge_n_edges,hodge_gradient_energy,hodge_cyclic_residual_energy,hodge_total_energy,hodge_rho_cyc
0,20,88,187,5,0.026737967914438502,0.0055064725894584075,0.0011012945178916814,20,88,617.7161748053986,72.39056202255648,690.1067368279541,0.10489763127845494
1,20,88,187,21,0.11229946524064172,0.063378587042767,0.003018027954417476,20,88,657.0745564007714,74.55653669963097,731.6310931004024,0.10190454916792267
2,20,88,187,4,0.0213903743315508,0.03283170756113749,0.008207926890284373,20,88,661.4490379345194,73.70763751795302,735.1566754524713,0.10026112797328235
3,20,88,187,8,0.0427807486631016,0.0759029757438947,0.009487871967986837,20,88,612.1515628053078,73.26472871995082,685.4162915252582,0.10689084812518052
4,20,88,187,8,0.0427807486631016,0.03045978533309284,0.003807473166636605,20,88,647.058089204053,67.84927536572403,714.9073645697767,0.09490638749616877
5,20,88,187,6,0.03208556149732621,0.008711103202098364,0.0014518505336830606,20,88,609.6317581574688,67.84485993636301,677.4766180938316,0.10014347082155149
6,20,88,187,1,0.0053475935828877,0.0007605007605007605,0.0007605007605007605,20,88,708.5801925120793,56.61708549677351,765.1972780088524,0.07399018151776347
7,20,88,187,2,0.0106951871657754,0.007398450096218859,0.0036992250481094296,20,88,625.3926130097104,68.81176983221252,694.2043828419226,0.09912321433424552
8,20,88,187,16,0.0855614973262032,0.058223406408694674,0.0036389629005434167,20,88,558.457083655645,71.087416897633,629.5445005532771,0.1129188116728168
9,20,88,187,8,0.0427807486631016,0.057396836880746205,0.0071746046100932765,20,88,548.4751805733042,57.004366107831395,605.4795466811354,0.09414746777210575
10,20,88,187,5,0.026737967914438502,0.03066681769159913,0.006133363538319827,20,88,630.8335111982062,58.24674645764935,689.0802576558551,0.08452824734203794
11,20,88,187,2,0.0106951871657754,0.0016343060338304095,0.0008171530169152047,20,88,660.4791725536745,52.375411736290715,712.8545842899646,0.07347278518024682
12,20,88,187,8,0.0427807486631016,0.032889458981157124,0.0041111823726446405,20,88,668.9898040823255,83.34173048326203,752.3315345655873,0.11077793054545476
13,20,88,187,8,0.0427807486631016,0.023096693771565074,0.002887086721445634,20,88,666.2540415246827,75.1855823971689,741.4396239218512,0.10140486153069905
14,20,88,187,11,0.058823529411764705,0.03515455850870227,0.003195868955336571,20,88,565.6248297678327,56.079291433025105,621.7041212008577,0.09020254092043767
15,20,88,187,6,0.03208556149732621,0.027905662661717196,0.004650943776952865,20,88,603.7451785800724,64.33672333142377,668.0819019114962,0.09630065288005174
16,20,88,187,11,0.058823529411764705,0.0473939547439538,0.004308541340359437,20,88,600.5826798383648,73.63081986010377,674.2134996984678,0.10920994594892283
17,20,88,187,6,0.03208556149732621,0.013207102804946563,0.0022011838008244274,20,88,635.5503482978218,46.922095379559714,682.4724436773811,0.06875309884561547
18,20,88,187,3,0.016042780748663103,0.01109100373806256,0.003697001246020853,20,88,653.6528616754423,67.11295636989381,720.7658180453354,0.09311340062143801
19,20,88,187,8,0.0427807486631016,0.03254018299787187,0.004067522874733984,20,88,623.4437805773834,56.71846580905476,680.1622463864375,0.0833896119791834
20,20,88,187,10,0.053475935828877004,0.048959818414235926,0.004895981841423593,20,88,603.7982909190714,74.40630858155727,678.2045995006284,0.10971071065625872
21,20,88,187,11,0.058823529411764705,0.1118459292052809,0.010167811745934629,20,88,604.2378637889302,101.99289823746533,706.2307620263949,0.14441865707579218
22,20,88,187,8,0.0427807486631016,0.020274689542144352,0.002534336192768044,20,88,630.510142748838,71.46809710632584,701.9782398551631,0.10180956196173777
23,20,88,187,11,0.058823529411764705,0.02229354420582682,0.002026685836893347,20,88,594.6034575528081,54.63485836820114,649.2383159210094,0.08415223967595956
24,20,88,187,12,0.06417112299465241,0.019073173559938907,0.0015894311299949086,20,88,598.289425491475,71.8534712508162,670.1428967422912,0.10722111895852568
25,20,88,187,6,0.03208556149732621,0.005103091754065287,0.0008505152923442145,20,88,617.5724131645945,46.70470639835587,664.2771195629502,0.07030906984886734
26,20,88,187,8,0.0427807486631016,0.02684932953352763,0.0033561661916909537,20,88,614.033876896629,67.3763486421576,681.4102255387863,0.09887780681436588
