setting,attribute,conditioning,score_delta,n_min,tau,cycle_rate_mean,cycle_rate_q025,cycle_rate_q500,cycle_rate_q975,cyclic_triples_mean,cyclic_triples_q025,cyclic_triples_q500,cyclic_triples_q975,rho_cyc_mean,rho_cyc_q025,rho_cyc_q500,rho_cyc_q975,bootstrap_reps,threshold
pooled,,pooled,5.0,25,0.0,0.02456015037593985,0.014285714285714285,0.02406015037593985,0.037650375939849635,32.665,19.0,32.0,50.07500000000002,0.0654977761542601,0.0561804586537705,0.06505836561445874,0.07686922162153818,200,
attribute_high_q75,choice_values,high_q75,5.0,25,0.0,0.06229220369150054,0.0,0.05647090087695987,0.14041353383458646,4.405,0.0,4.0,10.025000000000006,0.1803300408236003,0.11891248090120557,0.17625752907973344,0.27063376258059313,200,88.0
attribute_high_q75,choice_fluency,high_q75,5.0,25,0.0,0.04809691231817521,0.007677165354330713,0.045836543175292385,0.10022435897435904,6.485,0.9750000000000005,6.0,14.0,0.14809892190186377,0.10102050414215281,0.14688744618223046,0.21614419515011252,200,100.0
attribute_high_q75,choice_factuality,high_q75,5.0,25,0.0,0.06079010329924037,0.017931636726546907,0.05985074626865672,0.10898109243697479,9.255,2.0,9.0,19.025000000000006,0.15242389531489217,0.11622836161321606,0.1507812128639338,0.19406470021277064,200,98.0
attribute_high_q75,choice_safety,high_q75,5.0,25,0.0,0.07160557716242848,0.020519759450171822,0.07087053571428571,0.13684847198641767,7.54,2.0,7.0,16.025000000000006,0.19012744198238182,0.12391109262953247,0.18639699902073503,0.2555009671915119,200,97.0
attribute_high_q75,choice_diversity,high_q75,5.0,25,0.0,0.057747910673254646,0.01135427072927073,0.05791112708108756,0.12374355670103095,5.285,1.0,5.0,12.0,0.16223648403034624,0.10494954089332072,0.16156349052050148,0.22672460819520326,200,86.0
attribute_high_q75,choice_creativity,high_q75,5.0,25,0.0,0.07162535442952063,0.010955056179775286,0.06818181818181818,0.14756867523260966,4.395,0.9750000000000005,4.0,10.025000000000006,0.1828892096537665,0.11854464711557917,0.1818309418824401,0.2519213360724103,200,83.0
attribute_high_q75,choice_helpfulness,high_q75,5.0,25,0.0,0.05422205748300764,0.019584936778449698,0.05555555555555555,0.08833568482743653,13.87,5.0,14.0,24.0,0.1522176391662013,0.11385033404333211,0.1518825639983656,0.20308839261123518,200,100.0
