scope,outcome,n_regions,n_splits,mean_train_rho_cyc,mean_outcome,pearson_rho_cyc,pearson_p,spearman_rho_cyc,spearman_p,partial_beta_rho_cyc
all,test_log_loss,24000,100,0.027384137781800783,0.6070770442872003,0.1968221683628735,3.392661746463814e-208,0.18396787866140255,1.0656976126110109e-181,-0.06883995562084819
all,test_brier,24000,100,0.027384137781800783,0.20891018096594857,0.19803084770287388,8.709989121430797e-211,0.17898653546699048,6.055105837495177e-172,-0.0659432882481523
all,test_error_rate,24000,100,0.027384137781800783,0.31823460320136376,0.19713285524784505,7.35003354293449e-209,0.1282411473588553,1.547237379340089e-88,-0.024081248224140168
all,test_calibration_abs_error,24000,100,0.027384137781800783,0.03660033079889758,0.2501367414984824,0.0,0.26856286308431054,0.0,0.008251850812971168
all,test_pair_calibration_mae,24000,100,0.027384137781800783,0.06172254366771779,0.33146930562872823,0.0,0.3949547788462756,0.0,0.0008686542990621051
all,test_majority_edge_error,24000,100,0.027384137781800783,0.08705961549973404,0.23773926361084807,1.4234043252905756e-305,0.20723853085865293,4.3802953792498503e-231,0.05314760544699404
group=all,test_log_loss,8000,100,0.02377300762308141,0.6067486270968548,0.21219376138485002,4.0589034187390315e-82,0.1898517290054958,8.240355589716835e-66,-0.06652590732625017
group=all,test_brier,8000,100,0.02377300762308141,0.20879738702976972,0.21211585573439956,4.663190020267154e-82,0.1840301287895333,7.022342218963677e-62,-0.06421685117873781
group=all,test_error_rate,8000,100,0.02377300762308141,0.31827889344073246,0.19425886005835824,7.135589253045044e-69,0.1229207279161846,2.604578797964626e-28,-0.035333384640085445
group=all,test_calibration_abs_error,8000,100,0.02377300762308141,0.03225530910155588,0.24660526196723026,3.899428238804174e-111,0.2680530718523918,1.0519407005822945e-131,-0.003256778868907077
group=all,test_pair_calibration_mae,8000,100,0.02377300762308141,0.0544501225980286,0.3303083823627605,6.166082584399641e-203,0.3910724427589444,1.2344310978828723e-290,-0.012639744517444443
group=all,test_majority_edge_error,8000,100,0.02377300762308141,0.08034663203475122,0.2012789305849324,6.596678736003242e-74,0.20474941262478794,1.8174715510186903e-76,0.010852389739853896
group=expert,test_log_loss,8000,100,0.030065081096918043,0.6143985308090476,0.21035980987060784,1.0493492391032651e-80,0.1906634607916166,2.2778196944977837e-66,-0.10437234449021911
group=expert,test_brier,8000,100,0.030065081096918043,0.21241743131056995,0.21157161270548475,1.2276751763106114e-81,0.1881112243454879,1.2727538602237946e-64,-0.1039810509698091
group=expert,test_error_rate,8000,100,0.030065081096918043,0.32915574204720255,0.23511238797250897,6.597095431855258e-101,0.1589933818027215,1.9036434486270814e-46,-0.037398235317344146
group=expert,test_calibration_abs_error,8000,100,0.030065081096918043,0.03745610632665057,0.2655738505774038,3.160822466198554e-129,0.2713702809589107,4.6255136698265755e-135,0.028621711161272576
group=expert,test_pair_calibration_mae,8000,100,0.030065081096918043,0.06311876287272265,0.34737464304597854,1.1867116183038262e-225,0.3967830920044234,6.853176962777598e-300,0.020237595515873976
group=expert,test_majority_edge_error,8000,100,0.030065081096918043,0.10182660069461574,0.27084760078945336,1.57487463589149e-134,0.2142532703765751,1.0144979382514478e-83,0.07313312067760866
group=normal,test_log_loss,8000,100,0.028314324625402894,0.6000839749556988,0.1729323709760298,9.549562089253512e-55,0.18573957737874341,5.079737110809214e-63,-0.043123601463760805
group=normal,test_brier,8000,100,0.028314324625402894,0.20551572455750602,0.17464849088380385,8.081919299341451e-56,0.1796825526981649,4.977261316451805e-59,-0.036595080225536133
group=normal,test_error_rate,8000,100,0.028314324625402894,0.3072691741161564,0.15595456725127144,9.825116887933433e-45,0.11835065609058269,2.3724251347750747e-26,-0.0067346589698938164
group=normal,test_calibration_abs_error,8000,100,0.028314324625402894,0.04008957696848628,0.2350379060245958,7.653566728190457e-101,0.2539625179759769,5.683927859264652e-118,-0.01640431271224732
group=normal,test_pair_calibration_mae,8000,100,0.028314324625402894,0.06759874553240212,0.3180789202262625,1.5698756748540506e-187,0.3846423722912871,1.974353516252995e-280,-0.02404823091229844
group=normal,test_majority_edge_error,8000,100,0.028314324625402894,0.07900561376983513,0.2226525208752843,1.9807236792161834e-90,0.20422084844983152,4.4915220807793846e-76,0.05219753768107414
aspect=harmless,test_log_loss,6000,100,0.06482967350437469,0.6392789740640996,-0.041140680924472706,0.0014354375280816961,-0.06809577072488252,1.2939158022435678e-07,-0.043855156319890336
aspect=harmless,test_brier,6000,100,0.06482967350437469,0.22322271047186565,-0.035554675107144273,0.005880879080261716,-0.06657824218272895,2.446106276836417e-07,-0.04363278635514363
aspect=harmless,test_error_rate,6000,100,0.06482967350437469,0.3448215399049227,-0.0025217716718692416,0.8451618503147018,-0.033537140610854596,0.00937779851651593,-0.02063540632088132
aspect=harmless,test_calibration_abs_error,6000,100,0.06482967350437469,0.07285335546415206,0.007442498206463114,0.5643574815386412,-0.02199891944441443,0.08840348686158397,-1.180714151862243e-05
aspect=harmless,test_pair_calibration_mae,6000,100,0.06482967350437469,0.12262355465845151,0.013255215117060484,0.304620292830957,-0.042266974951860416,0.0010574914354559797,-0.014729993148065893
aspect=harmless,test_majority_edge_error,6000,100,0.06482967350437469,0.16814235204032055,0.04006605792076196,0.0019085673105757929,0.029047057080458384,0.024450132698937047,0.015239291051909212
aspect=helpful,test_log_loss,6000,100,0.006228345434682756,0.5828526659872469,0.11270875252050641,2.014486884067077e-18,-0.10392666555351848,7.012086306988432e-16,0.0007754906343144088
aspect=helpful,test_brier,6000,100,0.006228345434682756,0.19807230581719454,0.12056006371707882,7.198952137137801e-21,-0.1075116165975449,6.809510024795215e-17,0.007747014454957934
aspect=helpful,test_error_rate,6000,100,0.006228345434682756,0.29402175229708866,0.1885356366737485,3.947126798149333e-49,-0.1428951582655114,9.648928583818007e-29,0.07657877318278232
aspect=helpful,test_calibration_abs_error,6000,100,0.006228345434682756,0.018600568285139354,0.0020553980291560946,0.8735290752719617,-0.004757486021041278,0.7125462300416048,-0.02095541759286125
aspect=helpful,test_pair_calibration_mae,6000,100,0.006228345434682756,0.031153706666340573,0.0188126197406593,0.14510407618670018,-0.020220481450568928,0.11732391505565669,-0.019669723114946556
aspect=helpful,test_majority_edge_error,6000,100,0.006228345434682756,0.026672364181542355,0.1975384326668073,7.47987518116245e-54,0.029412816300253927,0.022707212594467143,0.17612076577822594
aspect=overall,test_log_loss,6000,100,0.005420722896144135,0.5873692046646471,0.09166692830415203,1.127339076191433e-12,-0.17950128898614692,1.2586244485877235e-44,-0.009627903895438826
aspect=overall,test_brier,6000,100,0.005420722896144135,0.20012718213264452,0.09929603984075591,1.269140749222925e-14,-0.18184373232899256,9.009215295324334e-46,-0.002992271868822211
aspect=overall,test_error_rate,6000,100,0.005420722896144135,0.3006053658681006,0.14220763216822974,1.766593320624317e-28,-0.22658666424461066,1.0207789739279424e-70,0.03856188691720956
aspect=overall,test_calibration_abs_error,6000,100,0.005420722896144135,0.018143778831773476,0.0167448896066306,0.19467446016095444,-0.011022278639507738,0.3933099907382166,-0.0034701809212408473
aspect=overall,test_pair_calibration_mae,6000,100,0.005420722896144135,0.030429071317639094,0.03788169812343041,0.0033382119082998336,-0.039121124197809005,0.002438760125632559,0.003187369693512634
aspect=overall,test_majority_edge_error,6000,100,0.005420722896144135,0.04630604003998738,0.06856100516028574,1.0615373115045194e-07,-0.06511510735018886,4.462225380781707e-07,0.028747637429593936
aspect=truthful,test_log_loss,6000,100,0.03305780929200156,0.6188073324328077,0.18233956071892743,5.131732454756021e-46,0.08827090567419181,7.41690975708792e-12,-0.026837194786108444
aspect=truthful,test_brier,6000,100,0.03305780929200156,0.21421852544208947,0.1900966785201142,6.227139641552415e-50,0.08972959760359994,3.3304179769963886e-12,-0.024378907204735636
aspect=truthful,test_error_rate,6000,100,0.03305780929200156,0.33348975473534315,0.2615549729371049,1.9870159877661409e-94,0.08898537841133994,5.018831058845857e-12,0.03577787270685856
aspect=truthful,test_calibration_abs_error,6000,100,0.03305780929200156,0.03680362061452541,0.05843268926639425,5.923446999502176e-06,0.02069003440805651,0.10904933475793428,0.03811267221950022
aspect=truthful,test_pair_calibration_mae,6000,100,0.03305780929200156,0.06268384202843996,0.05645253193598284,1.2122529199624585e-05,-0.009187247755201328,0.4767695616472519,0.019012369999277384
aspect=truthful,test_majority_edge_error,6000,100,0.03305780929200156,0.1071177057370858,0.23932842151363187,6.443994448888568e-79,0.06572898076446362,3.47280722304013e-07,0.09060244701329993
group=all;aspect=harmless,test_log_loss,2000,100,0.05682205099784704,0.6388879066340235,-0.0516434514631624,0.02090683395072004,-0.06900848025212006,0.002015727537289803,-0.05848692051873228
group=all;aspect=harmless,test_brier,2000,100,0.05682205099784704,0.2231514333745297,-0.047720499309316794,0.032842193996673714,-0.06899865974966493,0.0020187172816803203,-0.057960713404534084
group=all;aspect=harmless,test_error_rate,2000,100,0.05682205099784704,0.34386496652200477,-0.02090635648490874,0.35005722785131993,-0.04517351374913857,0.0433845153607229,-0.04011112704431515
group=all;aspect=harmless,test_calibration_abs_error,2000,100,0.05682205099784704,0.06554139488679493,-0.013028083515039778,0.5603686211641388,-0.02238223459555865,0.31708625242915617,-0.010834051390196886
group=all;aspect=harmless,test_pair_calibration_mae,2000,100,0.05682205099784704,0.11029892820557863,-0.02203752867790215,0.32459866726226055,-0.06016813654203414,0.007111927806622001,-0.04638540642314528
group=all;aspect=harmless,test_majority_edge_error,2000,100,0.05682205099784704,0.1502953807879847,-0.006398676706616365,0.7748922533063046,0.0003319743901561965,0.9881621693675532,-0.038597698837305204
group=all;aspect=helpful,test_log_loss,2000,100,0.005320712554686271,0.5827269772872882,0.009184377846199738,0.6814467312857908,-0.15443960510990126,3.807947761203079e-12,-0.02966804823343366
group=all;aspect=helpful,test_brier,2000,100,0.005320712554686271,0.19800721615245487,0.016623860481597794,0.4574646088239662,-0.15848673212168302,1.015362520294111e-12,-0.021263560674051885
group=all;aspect=helpful,test_error_rate,2000,100,0.005320712554686271,0.2935491748726645,0.07243103803390868,0.0011892434968367547,-0.203840445982637,3.348866475868676e-20,0.04556434992709003
group=all;aspect=helpful,test_calibration_abs_error,2000,100,0.005320712554686271,0.016480075580406855,-0.0002983315703167294,0.9893617591634198,0.011068507267126817,0.6208088072175477,0.004061155936746665
group=all;aspect=helpful,test_pair_calibration_mae,2000,100,0.005320712554686271,0.02743047570363413,0.01254193590796835,0.5750949265193558,-0.013369446342361584,0.5501384154106708,0.0027156177350876943
